Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,7575.000000,7800.000000,7575.000000,7650.000000,7337.571289,1030200
2018-09-13,7650.000000,7900.000000,7650.000000,7825.000000,7505.424316,1109600
2018-09-14,7825.000000,8150.000000,7825.000000,8100.000000,7769.192871,1069400
2018-09-17,8075.000000,8075.000000,7800.000000,7850.000000,7529.403320,840200
2018-09-18,7850.000000,7950.000000,7750.000000,7850.000000,7529.403320,1038600
2018-09-19,7850.000000,8100.000000,7850.000000,8075.000000,7745.213867,1066100
2018-09-20,8100.000000,8200.000000,8100.000000,8125.000000,7793.172363,1043700
2018-09-21,8125.000000,8300.000000,8100.000000,8150.000000,7817.150879,1034400
2018-09-24,8125.000000,8150.000000,7900.000000,7950.000000,7625.318848,1043600
2018-09-25,8100.000000,8100.000000,7625.000000,7900.000000,7577.361328,1035200
2018-09-26,8000.000000,8000.000000,7725.000000,7750.000000,7433.487305,1048900
2018-09-27,7600.000000,7900.000000,7600.000000,7750.000000,7433.487305,1021700
2018-09-28,7800.000000,7850.000000,7725.000000,7800.000000,7481.444824,1053800
2018-10-01,7800.000000,7800.000000,7600.000000,7600.000000,7289.613281,1040000
2018-10-02,7700.000000,7700.000000,7300.000000,7450.000000,7145.739258,1033700
2018-10-03,7450.000000,7600.000000,7400.000000,7500.000000,7193.697266,1043500
2018-10-04,7650.000000,7650.000000,7150.000000,7350.000000,7049.823242,1032800
2018-10-05,7400.000000,7400.000000,7000.000000,7200.000000,6905.949219,1065200
2018-10-08,7150.000000,7150.000000,6950.000000,7100.000000,6810.033691,1007800
2018-10-09,7050.000000,7450.000000,6975.000000,7350.000000,7049.823242,1095300
2018-10-10,7350.000000,7550.000000,7350.000000,7425.000000,7121.760254,1041400
2018-10-11,7300.000000,7400.000000,7000.000000,7400.000000,7097.781250,1022800
2018-10-12,7300.000000,7500.000000,7300.000000,7500.000000,7193.697266,1033700
2018-10-15,7500.000000,7650.000000,7250.000000,7350.000000,7049.823242,1029400
2018-10-16,7350.000000,7750.000000,7250.000000,7675.000000,7361.550293,1026500
2018-10-17,7900.000000,8000.000000,7700.000000,7700.000000,7385.529297,1040000
2018-10-18,7900.000000,7900.000000,7700.000000,7725.000000,7409.508301,1012800
2018-10-19,7650.000000,7750.000000,7500.000000,7750.000000,7433.487305,1027300
2018-10-22,7650.000000,7850.000000,7600.000000,7825.000000,7505.424316,1117100
2018-10-23,8000.000000,8000.000000,7725.000000,7800.000000,7481.444824,954000
2018-10-24,7950.000000,7950.000000,7750.000000,7800.000000,7481.444824,1025000
2018-10-25,7800.000000,7800.000000,7600.000000,7800.000000,7481.444824,1034800
2018-10-26,7825.000000,7950.000000,7800.000000,7900.000000,7577.361328,1053700
2018-10-29,8000.000000,8000.000000,7775.000000,7775.000000,7457.466309,680100
2018-10-30,7775.000000,7800.000000,7575.000000,7600.000000,7289.613281,446200
2018-10-31,7700.000000,7700.000000,7550.000000,7600.000000,7289.613281,287600
2018-11-01,7675.000000,7750.000000,7425.000000,7450.000000,7145.739258,262600
2018-11-02,7525.000000,7525.000000,7250.000000,7300.000000,7001.865723,214100
2018-11-05,7300.000000,7300.000000,7150.000000,7250.000000,6953.907227,328600
2018-11-06,7200.000000,7350.000000,7150.000000,7350.000000,7049.823242,351400
2018-11-07,7400.000000,7550.000000,7400.000000,7550.000000,7241.655273,342600
2018-11-08,7650.000000,7700.000000,7575.000000,7650.000000,7337.571289,338800
2018-11-09,7650.000000,7650.000000,7300.000000,7350.000000,7049.823242,285400
2018-11-12,7350.000000,7400.000000,7250.000000,7275.000000,6977.886230,338800
2018-11-13,7200.000000,7400.000000,7200.000000,7375.000000,7073.802734,351200
2018-11-14,7375.000000,7650.000000,7375.000000,7500.000000,7193.697266,312000
2018-11-15,7500.000000,7800.000000,7400.000000,7800.000000,7582.545898,349300
2018-11-16,7800.000000,7950.000000,7650.000000,7875.000000,7655.454590,324000
2018-11-19,7875.000000,7875.000000,7750.000000,7775.000000,7558.242676,353600
2018-11-20,7775.000000,7775.000000,7775.000000,7775.000000,7558.242676,0
2018-11-21,7650.000000,7800.000000,7625.000000,7800.000000,7582.545898,338200
2018-11-22,7800.000000,8000.000000,7750.000000,8000.000000,7776.969727,354000
2018-11-23,8000.000000,8250.000000,7950.000000,8000.000000,7776.969727,307700
2018-11-26,7950.000000,8000.000000,7675.000000,7700.000000,7485.333496,285600
2018-11-27,7700.000000,7850.000000,7600.000000,7650.000000,7436.727539,430800
2018-11-28,7750.000000,7850.000000,7700.000000,7825.000000,7606.848633,305000
2018-11-29,8000.000000,8050.000000,7825.000000,7975.000000,7752.666992,316500
2018-11-30,8000.000000,8100.000000,7950.000000,7950.000000,7728.363770,252100
2018-12-03,7950.000000,8200.000000,7850.000000,8200.000000,7971.394043,232400
2018-12-04,8300.000000,8400.000000,7950.000000,8000.000000,7776.969727,171600
2018-12-05,7900.000000,8000.000000,7750.000000,8000.000000,7776.969727,224700
2018-12-06,7975.000000,7975.000000,7850.000000,7950.000000,7728.363770,131500
2018-12-07,7950.000000,8000.000000,7750.000000,8000.000000,7776.969727,252200
2018-12-10,7800.000000,7900.000000,7800.000000,7900.000000,7679.757813,120200
2018-12-11,7800.000000,7850.000000,7700.000000,7850.000000,7631.151855,154400
2018-12-12,7900.000000,7950.000000,7800.000000,7950.000000,7728.363770,127400
2018-12-13,7950.000000,8000.000000,7750.000000,7750.000000,7533.939453,112000
2018-12-14,7900.000000,7900.000000,7725.000000,7900.000000,7679.757813,150000
2018-12-17,7900.000000,7900.000000,7700.000000,7750.000000,7533.939453,116800
2018-12-18,7750.000000,7750.000000,7550.000000,7750.000000,7533.939453,114100
2018-12-19,7750.000000,7750.000000,7500.000000,7600.000000,7388.121582,133700
2018-12-20,7500.000000,7500.000000,7425.000000,7500.000000,7290.909180,111600
2018-12-21,7400.000000,7500.000000,7300.000000,7500.000000,7290.909180,128600
2018-12-24,7500.000000,7500.000000,7500.000000,7500.000000,7290.909180,0
2018-12-25,7500.000000,7500.000000,7500.000000,7500.000000,7290.909180,0
2018-12-26,7450.000000,7500.000000,7350.000000,7500.000000,7290.909180,105500
2018-12-27,7500.000000,7825.000000,7500.000000,7500.000000,7290.909180,102600
2018-12-28,7450.000000,7800.000000,7350.000000,7775.000000,7558.242676,67200
2018-12-31,7775.000000,7775.000000,7775.000000,7775.000000,7558.242676,0
2019-01-01,7775.000000,7775.000000,7775.000000,7775.000000,7558.242676,0
2019-01-02,7625.000000,7775.000000,7400.000000,7500.000000,7290.909180,128900
2019-01-03,7400.000000,7400.000000,7200.000000,7200.000000,6999.272949,89300
2019-01-04,7000.000000,7675.000000,7000.000000,7600.000000,7388.121582,244600
2019-01-07,7800.000000,7800.000000,7500.000000,7500.000000,7290.909180,140800
2019-01-08,7700.000000,7700.000000,7325.000000,7650.000000,7436.727539,147800
2019-01-09,7850.000000,7850.000000,7450.000000,7500.000000,7290.909180,131100
2019-01-10,7725.000000,7800.000000,7450.000000,7550.000000,7339.515137,134600
2019-01-11,7750.000000,7850.000000,7500.000000,7575.000000,7363.818359,128700
2019-01-14,7750.000000,7850.000000,7450.000000,7600.000000,7388.121582,136900
2019-01-15,7650.000000,7650.000000,7400.000000,7650.000000,7436.727539,149800
2019-01-16,7700.000000,7800.000000,7450.000000,7450.000000,7242.303223,146000
2019-01-17,7700.000000,7700.000000,7400.000000,7550.000000,7339.515137,136700
2019-01-18,7675.000000,7675.000000,7425.000000,7550.000000,7339.515137,143100
2019-01-21,7600.000000,7700.000000,7450.000000,7650.000000,7436.727539,188100
2019-01-22,7700.000000,7900.000000,7550.000000,7550.000000,7339.515137,118000
2019-01-23,7775.000000,7800.000000,7500.000000,7800.000000,7582.545898,158000
2019-01-24,7900.000000,7900.000000,7500.000000,7750.000000,7533.939453,159600
2019-01-25,7750.000000,7800.000000,7550.000000,7750.000000,7533.939453,120400
2019-01-28,7800.000000,7800.000000,7500.000000,7600.000000,7388.121582,102900
2019-01-29,7700.000000,7700.000000,7500.000000,7600.000000,7388.121582,113000
2019-01-30,7650.000000,7700.000000,7525.000000,7600.000000,7388.121582,101000
2019-01-31,7625.000000,7800.000000,7450.000000,7575.000000,7363.818359,122700
2019-02-01,7625.000000,7650.000000,7450.000000,7450.000000,7242.303223,108200
2019-02-04,7600.000000,7625.000000,7350.000000,7475.000000,7266.606445,12200
2019-02-05,7475.000000,7475.000000,7475.000000,7475.000000,7266.606445,0
2019-02-06,7575.000000,7575.000000,7325.000000,7500.000000,7290.909180,49600
2019-02-07,7500.000000,7650.000000,7350.000000,7500.000000,7290.909180,51900
2019-02-08,7500.000000,7575.000000,7350.000000,7500.000000,7290.909180,39600
2019-02-11,7575.000000,7800.000000,7400.000000,7700.000000,7485.333496,96500
2019-02-12,7850.000000,7875.000000,7525.000000,7750.000000,7533.939453,90300
2019-02-13,7850.000000,8000.000000,7600.000000,8000.000000,7776.969727,139000
2019-02-14,7975.000000,8200.000000,7775.000000,8200.000000,7971.394043,133900
2019-02-15,8350.000000,8400.000000,8025.000000,8275.000000,8044.303223,83100
2019-02-18,8400.000000,8400.000000,8125.000000,8250.000000,8020.000000,56000
2019-02-19,8250.000000,8375.000000,8100.000000,8350.000000,8117.212402,71100
2019-02-20,8350.000000,8350.000000,8075.000000,8075.000000,7849.878906,71100
2019-02-21,8075.000000,8300.000000,8000.000000,8250.000000,8020.000000,67500
2019-02-22,8350.000000,8350.000000,8075.000000,8150.000000,7922.788086,73900
2019-02-25,8250.000000,8300.000000,8000.000000,8200.000000,7971.394043,27100
2019-02-26,8175.000000,8200.000000,7900.000000,8200.000000,7971.394043,98800
2019-02-27,8300.000000,8300.000000,8000.000000,8200.000000,7971.394043,46900
2019-02-28,8300.000000,8400.000000,7900.000000,7975.000000,7752.666992,49100
2019-03-01,8200.000000,8250.000000,8000.000000,8200.000000,7971.394043,77600
2019-03-04,8200.000000,8200.000000,7975.000000,8000.000000,7776.969727,62700
2019-03-05,8200.000000,8400.000000,8050.000000,8225.000000,7995.697266,54800
2019-03-06,8350.000000,8350.000000,8000.000000,8150.000000,7922.788086,42200
2019-03-07,8150.000000,8150.000000,8150.000000,8150.000000,7922.788086,0
2019-03-08,8175.000000,8200.000000,7925.000000,8150.000000,7922.788086,74400
2019-03-11,8175.000000,8350.000000,7950.000000,8150.000000,7922.788086,47900
2019-03-12,8175.000000,8250.000000,7975.000000,8150.000000,7922.788086,61600
2019-03-13,8175.000000,8175.000000,8050.000000,8100.000000,7874.182129,13600
2019-03-14,8100.000000,8100.000000,8100.000000,8100.000000,7874.182129,0
2019-03-15,8200.000000,8350.000000,7900.000000,8000.000000,7776.969727,54700
2019-03-18,8175.000000,8350.000000,7975.000000,8000.000000,7776.969727,65200
2019-03-19,8200.000000,8200.000000,7950.000000,7975.000000,7752.666992,50300
2019-03-20,8125.000000,8275.000000,8100.000000,8100.000000,7874.182129,70900
2019-03-21,8150.000000,8150.000000,7900.000000,8100.000000,7874.182129,33500
2019-03-22,8100.000000,8100.000000,8100.000000,8100.000000,7874.182129,0
2019-03-25,8300.000000,8300.000000,7925.000000,8075.000000,7849.878906,42600
2019-03-26,8300.000000,8300.000000,8000.000000,8150.000000,7922.788086,29800
2019-03-27,8400.000000,8400.000000,8000.000000,8200.000000,7971.394043,72600
2019-03-28,8375.000000,8450.000000,8200.000000,8200.000000,7971.394043,68000
